NCT03523806	"Not Applicable	"
NCT03523299	"Not Applicable	"
NCT03521960	"Phase 1	"
NCT03519750	"Phase 1	"
NCT03519659	"Not Applicable	"
NCT03518216	"Not Applicable	"
NCT03517397	"Not Applicable	"
NCT03516877	"Not Applicable	"
NCT03513822	"Phase 3	"
NCT03512691	"Not Applicable	"
NCT03510195	"Not Applicable	"
NCT03508921	"Phase 4	"
NCT03508908	"Not Applicable	"
NCT03507647	"Not Applicable	"
NCT03503721	"Not Applicable	"
NCT03503162	"Not Applicable	"
NCT03502655	"Not Applicable	"
NCT03502252	"Not Applicable	"
NCT03501316	"Not Applicable	"
NCT03500419	"Not Applicable	"
NCT03500406	"Not Applicable	"
NCT03500367	"Phase 4	"
NCT03496948	"Not Applicable	"
NCT03495791	"Not Applicable	"
NCT03495752	"Not Applicable	"
NCT03495661	"Not Applicable	"
NCT03495518	"Not Applicable	"
NCT03495089	"Not Applicable	"
NCT03494816	"Phase 2	"
NCT03494335	"Not Applicable	"
NCT03494205	"Phase 2	"
NCT03492476	"Not Applicable	"
NCT03491059	"Phase 4	"
NCT03491046	"Not Applicable	"
NCT03490812	"Not Applicable	"
NCT03490656	"Not Applicable	"
NCT03489395	"Phase 2	"
NCT03488511	"Not Applicable	"
NCT03487718	"Not Applicable	"
NCT03486444	"Not Applicable	"
NCT03486106	"Not Applicable	"
NCT03484533	"Not Applicable	"
NCT03484338	"Not Applicable	"
NCT03484273	"Not Applicable	"
NCT03483935	"Not Applicable	"
NCT03482908	"Not Applicable	"
NCT03481023	"Not Applicable	"
NCT03479697	"Not Applicable	"
NCT03478163	"Phase 4	"
NCT03478137	"Not Applicable	"
NCT03477500	"Phase 3	"
NCT03477045	"Not Applicable	"
NCT03473899	"Not Applicable	"
NCT03473665	"Phase 4	"
NCT03472820	"Not Applicable	"
NCT03472430	"Not Applicable	"
NCT03472378	"Phase 2	"
NCT03471117	"Phase 4	"
NCT03470389	"Not Applicable	"
NCT03469609	"Not Applicable	"
NCT03468621	"Not Applicable	"
NCT03466164	"Not Applicable	"
NCT03465982	"Not Applicable	"
NCT03464773	"Not Applicable	"
NCT03464266	"Phase 4	"
NCT03462966	"Phase 2	"
NCT03462823	"Not Applicable	"
NCT03459014	"Not Applicable	"
NCT03457519	"Not Applicable	"
NCT03457506	"Not Applicable	"
NCT03456895	"Not Applicable	"
NCT03456128	"Not Applicable	"
NCT03455426	"Not Applicable	"
NCT03454282	"Not Applicable	"
NCT03454087	"Not Applicable	"
NCT03453190	"Phase 4	"
NCT03451266	"Phase 1	"
NCT03450655	"Not Applicable	"
NCT03450564	"Not Applicable	"
NCT03449693	"Phase 2	"
NCT03448289	"Not Applicable	"
NCT03447119	"Not Applicable	"
NCT03444103	"Phase 2	"
NCT03443388	"Not Applicable	"
NCT03443258	"Not Applicable	"
NCT03441867	"Not Applicable	"
NCT03438708	"Phase 2	"
NCT03435497	"Not Applicable	"
NCT03435172	"Not Applicable	"
NCT03434392	"Not Applicable	"
NCT03433222	"Phase 1	"
NCT03432832	"Not Applicable	"
NCT03432819	"Not Applicable	"
NCT03429010	"Not Applicable	"
NCT03428477	"Phase 3	"
NCT03426436	"Not Applicable	"
NCT03425890	"Not Applicable	"
NCT03423394	"Phase 2	"
NCT03423303	"Not Applicable	"
NCT03422536	"Phase 2	"
NCT03421262	"Not Applicable	"
NCT03420404	"Not Applicable	"
NCT03419715	"Phase 2	"
NCT03418870	"Not Applicable	"
NCT03418324	"Phase 2	"
NCT03415880	"Not Applicable	"
NCT03415841	"Not Applicable	"
NCT03412149	"Not Applicable	"
NCT03412084	"Not Applicable	"
NCT03410511	"Not Applicable	"
NCT03408873	"Phase 4	"
NCT03408574	"Phase 1	"
NCT03406520	"Not Applicable	"
NCT03405090	"Phase 4	"
NCT03404011	"Not Applicable	"
NCT03401047	"Early Phase 1	"
NCT03399318	"Phase 2	"
NCT03397030	"Not Applicable	"
NCT03396094	"Not Applicable	"
NCT03394599	"Not Applicable	"
NCT03392415	"Not Applicable	"
NCT03386227	"Not Applicable	"
NCT03384706	"Not Applicable	"
NCT03382171	"Not Applicable	"
NCT03382093	"Not Applicable	"
NCT03381027	"Not Applicable	"
NCT03380884	"Phase 2	"
NCT03380013	"Not Applicable	"
NCT03379818	"Not Applicable	"
NCT03375879	"Not Applicable	"
NCT03375229	"Not Applicable	"
NCT03372174	"Not Applicable	"
NCT03371836	"Phase 4	"
NCT03369600	"Not Applicable	"
NCT03367364	"Not Applicable	"
NCT03365518	"Not Applicable	"
NCT03364660	"Not Applicable	"
NCT03364114	"Not Applicable	"
NCT03362983	"Not Applicable	"
NCT03359863	"Phase 2	"
NCT03357042	"Not Applicable	"
NCT03356652	"Not Applicable	"
NCT03356210	"Not Applicable	"
NCT03356106	"Not Applicable	"
NCT03355456	"Not Applicable	"
NCT03354325	"Not Applicable	"
